Detectado,Acuracia
person, 0.8030
person, 0.7542
person, 0.7478
person, 0.7380
person, 0.7258
person, 0.7243
person, 0.7201
person, 0.7003
person, 0.6323
person, 0.6035
person, 0.5200
person, 0.5195
person, 0.5130
person, 0.9662
person, 0.9606
person, 0.9604
person, 0.9524
person, 0.9492
person, 0.9277
person, 0.9082
person, 0.8488
person, 0.8476
person, 0.8462
person, 0.8398
person, 0.8218
person, 0.7942
person, 0.7901
person, 0.7551
person, 0.7390
person, 0.7357
person, 0.6809
person, 0.6608
person, 0.5815
person, 0.5701
person, 0.5502
person, 0.9661
person, 0.9565
person, 0.9244
person, 0.9052
person, 0.9026
person, 0.8773
person, 0.8722
person, 0.8636
person, 0.8561
person, 0.8273
person, 0.8258
person, 0.8197
person, 0.8076
person, 0.7976
person, 0.7319
person, 0.7092
person, 0.7009
person, 0.6702
person, 0.6497
person, 0.6493
person, 0.6209
person, 0.5390
person, 0.9544
person, 0.9370
person, 0.9370
person, 0.9018
person, 0.8993
person, 0.8854
person, 0.8790
person, 0.8775
person, 0.8501
person, 0.8205
person, 0.8186
person, 0.7974
person, 0.7822
person, 0.7813
person, 0.7624
person, 0.7249
person, 0.7206
person, 0.6965
person, 0.6815
person, 0.6704
person, 0.6265
person, 0.6176
person, 0.5380
person, 0.9619
person, 0.9360
person, 0.9270
person, 0.9160
person, 0.9046
person, 0.8763
person, 0.8688
person, 0.8293
person, 0.8176
person, 0.8033
person, 0.7736
person, 0.7703
person, 0.7275
person, 0.7188
person, 0.6803
person, 0.6784
person, 0.6304
person, 0.5927
person, 0.5850
person, 0.5848
person, 0.5831
person, 0.5263
person, 0.5227
person, 0.5046
person, 0.9475
person, 0.9240
person, 0.9047
person, 0.9044
person, 0.9014
person, 0.8971
person, 0.8645
person, 0.8636
person, 0.8151
person, 0.7895
person, 0.7757
person, 0.7598
person, 0.7566
person, 0.7348
person, 0.7287
person, 0.7100
person, 0.7057
person, 0.6909
person, 0.6901
person, 0.6761
person, 0.5871
person, 0.5673
person, 0.5435
person, 0.5343
person, 0.9633
person, 0.9343
person, 0.9273
person, 0.9232
person, 0.9012
person, 0.9008
person, 0.8806
person, 0.8707
person, 0.8667
person, 0.8326
person, 0.8228
person, 0.8069
person, 0.8041
person, 0.7302
person, 0.6857
person, 0.6573
person, 0.6467
person, 0.6429
person, 0.6204
person, 0.6125
person, 0.5855
person, 0.5763
person, 0.5451
person, 0.5082
person, 0.9512
person, 0.8605
person, 0.8575
person, 0.8562
person, 0.8424
person, 0.8208
person, 0.8194
person, 0.8016
person, 0.7870
person, 0.7765
person, 0.7706
person, 0.7242
person, 0.7103
person, 0.7100
person, 0.7071
person, 0.6974
person, 0.6061
person, 0.5941
person, 0.5638
